id,name,description,customAttrs,licenseIds
cmffjdfy40003gly6eactg0tn,Test Product,Test Description,{},[]
cmffjgfc5000iglp70keraogy,E-Commerce Platform,Modern e-commerce platform with advanced features for online retailers,"{""status"":""active"",""version"":""2.1.0"",""category"":""Web Application"",""industry"":""Retail"",""priority"":""High"",""technology"":""React, Node.js, PostgreSQL""}",[]
cmffjgfd3000lglp7pyrwy9kw,Mobile Banking Application,Secure mobile banking solution with biometric authentication and real-time transactions,"{""status"":""active"",""version"":""3.2.1"",""category"":""Mobile Application"",""industry"":""FinTech"",""priority"":""Critical"",""technology"":""React Native, Node.js""}",[]
cmffjgfeh000oglp7iqg00rqa,Customer Relationship Management,Advanced CRM system with AI-powered insights and automation,"{""status"":""development"",""version"":""1.5.3"",""category"":""Business Application"",""industry"":""Business Services"",""priority"":""Medium"",""technology"":""Angular, Spring Boot, MongoDB""}",[]
cmffjgffv000rglp7wt0t633j,Business Intelligence Dashboard,Real-time analytics and reporting platform with interactive visualizations,"{""status"":""active"",""version"":""2.0.0"",""category"":""Analytics Platform"",""industry"":""Analytics"",""priority"":""Medium"",""technology"":""Vue.js, Python, Elasticsearch""}",[]
cmffjgfgz000uglp75oxfando,Healthcare Management System,Comprehensive healthcare management solution for hospitals and clinics,"{""status"":""development"",""version"":""1.0.0"",""category"":""Healthcare Application"",""industry"":""Healthcare"",""priority"":""High"",""technology"":""React, .NET Core, SQL Server""}",[]
cmffjp81m000ogls494fftrnj,E-Commerce Platform - EDITED,Modern e-commerce platform with advanced features for online retailers [UPDATED by GUI Test Studio at 11:11:43 AM] - This product has been comprehensively updated with all available attributes modified for thorough testing.,"{""status"":""active"",""version"":""v1.0"",""category"":""Web Application"",""editedBy"":""GUI Test Studio"",""industry"":""Retail"",""priority"":""High"",""editCount"":1,""lastEdited"":""2025-09-11T15:11:43.204Z"",""technology"":""React, Node.js, PostgreSQL"",""editTimestamp"":1757603503204,""testAttributes"":{""testType"":""full-attribute-edit"",""comprehensive"":true,""allFieldsModified"":true},""testEnvironment"":""GUI Test Studio""}",[]
cmffjp82n000rgls4itz490um,Mobile Banking Application,Secure mobile banking solution with biometric authentication and real-time transactions,"{""status"":""active"",""version"":""3.2.1"",""category"":""Mobile Application"",""industry"":""FinTech"",""priority"":""Critical"",""technology"":""React Native, Node.js""}",[]
cmffjp83t000ugls4uhv8806n,Customer Relationship Management,Advanced CRM system with AI-powered insights and automation,"{""status"":""development"",""version"":""1.5.3"",""category"":""Business Application"",""industry"":""Business Services"",""priority"":""Medium"",""technology"":""Angular, Spring Boot, MongoDB""}",[]
cmffjp84x000xgls4c5mm0x8u,Business Intelligence Dashboard,Real-time analytics and reporting platform with interactive visualizations,"{""status"":""active"",""version"":""2.0.0"",""category"":""Analytics Platform"",""industry"":""Analytics"",""priority"":""Medium"",""technology"":""Vue.js, Python, Elasticsearch""}",[]
cmffjp8640010gls4h2eqxhi5,Healthcare Management System,Comprehensive healthcare management solution for hospitals and clinics,"{""status"":""development"",""version"":""1.0.0"",""category"":""Healthcare Application"",""industry"":""Healthcare"",""priority"":""High"",""technology"":""React, .NET Core, SQL Server""}",[]
cmffjqt58009bgls4p8p2m2ms,Test Product 1757603500640 - EDITED,This is a test product created by the GUI Test Studio for validation purposes. [UPDATED by GUI Test Studio at 11:25:41 AM] - This product has been comprehensively updated with all available attributes modified for thorough testing.,"{""status"":""active"",""version"":""v1.0"",""category"":""Test Category"",""editedBy"":""GUI Test Studio"",""priority"":""High"",""createdAt"":""2025-09-11T15:11:40.640Z"",""createdBy"":""GUI Test Studio"",""editCount"":1,""lastEdited"":""2025-09-11T15:25:41.359Z"",""testCreated"":true,""editTimestamp"":1757604341359,""testAttributes"":{""testType"":""full-attribute-edit"",""comprehensive"":true,""allFieldsModified"":true},""testEnvironment"":""GUI Test Studio""}",[]
cmffk5jxj0000glh50hjgp8mr,Test Product,Test product for licensing,{},"[""cmffk5ozw0004glh5isf7tw0v""]"
cmffk891d001ngldfeuuvidly,E-Commerce Platform,Modern e-commerce platform with advanced features for online retailers,"{""status"":""active"",""version"":""v1.0"",""category"":""Web Application"",""editedBy"":""GUI Test Studio"",""industry"":""Retail"",""priority"":""High"",""editCount"":1,""lastEdited"":""2025-09-11T15:26:18.546Z"",""technology"":""React, Node.js, PostgreSQL"",""editTimestamp"":1757604378546,""testAttributes"":{""testType"":""full-attribute-edit"",""comprehensive"":true,""allFieldsModified"":true},""testEnvironment"":""GUI Test Studio""}","[""cmffk89b30023gldf1xi0nkwp"",""cmffk89c70027gldfl6t8pqq1"",""cmffk89d6002bgldf9wu07mwy""]"
cmffk8966001qgldf6j5xzinj,Mobile Banking Application,Secure mobile banking solution with biometric authentication and real-time transactions,"{""status"":""active"",""version"":""3.2.1"",""category"":""Mobile Application"",""industry"":""FinTech"",""priority"":""Critical"",""technology"":""React Native, Node.js""}","[""cmffk89ek002fgldfdj30u70z"",""cmffk89fr002jgldfiqel91yg"",""cmffk89h1002ngldflpzc1zqm""]"
cmffk8977001tgldf9yza87mp,Customer Relationship Management,Advanced CRM system with AI-powered insights and automation,"{""status"":""development"",""version"":""1.5.3"",""category"":""Business Application"",""industry"":""Business Services"",""priority"":""Medium"",""technology"":""Angular, Spring Boot, MongoDB""}","[""cmffk89i2002rgldf4t44bdsa"",""cmffk89iv002vgldfob6q1g2o"",""cmffk89jj002zgldfo0gji325""]"
